UF;Cidade;vendas;produtos;itens;venda_total;ticket_medio;mes;cancelada;periodo
MG;Manhumirim;3;43;238;574,05;191,35;202210;FALSO;2022-10-01 00:00:00
MG;Inhapim;1;40;43;313,24;313,24;202210;FALSO;2022-10-01 00:00:00
MG;Ipanema;1555;32050;64361;410102,38;263,73;202211;FALSO;2022-11-01 00:00:00
MG;Pocrane;179;3818;10879;65971,23;368,55;202211;FALSO;2022-11-01 00:00:00
MG;Taparuba;96;3124;6619;43623,86;454,42;202211;FALSO;2022-11-01 00:00:00
MG;Conceição de Ipanema;124;3794;8075;53316,06;429,97;202211;FALSO;2022-11-01 00:00:00
MG;Santana do Manhuaçu;155;4692;10448;65739,66;424,13;202211;FALSO;2022-11-01 00:00:00
MG;Simonésia;312;8487;18897;110175,1;353,13;202211;FALSO;2022-11-01 00:00:00
MG;Manhuaçu;195;4690;11032;70401,6;361,03;202211;FALSO;2022-11-01 00:00:00
MG;São José do Mantimento;78;2571;6379;42792,43;548,62;202211;FALSO;2022-11-01 00:00:00
MG;Reduto;14;287;1264;5981,13;427,22;202211;FALSO;2022-11-01 00:00:00
MG;Aimorés;166;4617;10757;64618,51;389,27;202211;FALSO;2022-11-01 00:00:00
MG;Expedicionário Alício;76;2167;6428;42783,98;562,95;202211;FALSO;2022-11-01 00:00:00
MG;Conceição do Capim;36;868;1976;14844,44;412,35;202211;FALSO;2022-11-01 00:00:00
MG;Resplendor;201;4417;9857;64170,27;319,26;202211;FALSO;2022-11-01 00:00:00
MG;Itueta;72;2125;4767;31276,77;434,4;202211;FALSO;2022-11-01 00:00:00
MG;Quatituba;43;1063;2765;18308,91;425,79;202211;FALSO;2022-11-01 00:00:00
ES;Baixo Guandu;106;1961;4863;30887,64;291,39;202211;FALSO;2022-11-01 00:00:00
MG;Caratinga;12;247;909;4663,5;388,63;202211;FALSO;2022-11-01 00:00:00
MG;Piedade de Caratinga;4;55;133;1080,13;270,03;202211;FALSO;2022-11-01 00:00:00
MG;SÃO JOÃO DO JACUTINGA;4;132;224;1591,59;397,9;202211;FALSO;2022-11-01 00:00:00
